Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,5.6653674841950625,5.729649186072847,3.886968644673394,4.7140597861999565,64396047.78793463,414330077.82298726
2024-07-01,2024-08-01,6.050971100096483,6.4824255473161925,4.4417660264616075,5.655672081352439,63752870.138135366,479418882.7619974
2024-06-01,2024-07-01,7.4268737914157095,8.70808521639881,5.559144660243135,6.048630687766602,83602044.24772395,572799385.85467
2024-05-01,2024-06-01,6.751259440592853,8.2099444850265,6.438421005478138,7.442834551566462,81102792.52264808,615244620.8937281
2024-04-01,2024-05-01,11.0621,11.0651,6.252434092219338,6.761151611027987,117124506.21904399,693734877.808615
2024-03-01,2024-04-01,9.539609658816312,13.3897,8.955668496041671,11.0319,261624231.94893998,900783991.3843651
2024-02-01,2024-03-01,6.968321708774581,9.634765879053539,6.801225478238321,9.602359951064814,134382905.81416956,642720592.1393727
2024-01-01,2024-02-01,8.8999077048717,9.564929210031258,6.757867537417776,6.958860353065601,135352249.88686845,651444518.4427265
2023-12-01,2024-01-01,6.350456682393593,11.0491,6.2824734562224185,8.848381150721494,219276464.95418814,636939080.45856
2023-11-01,2023-12-01,5.424771342469767,7.425795396470131,5.1928582686957885,6.36701756551019,173714082.15337044,503570345.0231014
2023-10-01,2023-11-01,4.585661183051588,5.925067401587488,4.074373565040108,5.460550389598662,107666256.14481916,377598198.38871163
2023-09-01,2023-10-01,4.669363105305044,4.971933448217543,4.071578511117725,4.586622647109366,97262664.32389876,374346677.71154296
2023-08-01,2023-09-01,6.001995820998153,6.249501710156887,4.483623073676736,4.669688836097719,89254215.3057956,449446893.9035774
2023-07-01,2023-08-01,6.118439741419511,6.839864246776849,5.6769676548121515,6.014500693393164,139411859.95579806,512709489.1987385
2023-06-01,2023-07-01,6.850630842965481,7.46296414230159,4.611499693209569,5.955363544034787,133742037.62712154,479861000.4433042
2023-05-01,2023-06-01,7.923553067478722,7.933092530829072,6.5385087066521645,6.878715385174822,112377933.26437843,588457768.7563181
2023-04-01,2023-05-01,8.380060758748808,9.586025069167388,7.518666638012286,7.940559068820294,117335688.07529241,700254534.6223332
2023-03-01,2023-04-01,9.579128116965595,10.0416,6.927622488229561,8.380060758748808,164735328.02342042,709549953.2439506
2023-02-01,2023-03-01,10.8921,12.3134,9.199649737116479,9.60103255124389,297239722.1453357,881672390.3330123
2023-01-01,2023-02-01,6.039419134832468,13.8085,5.943610277917771,10.9161,461903572.0026866,734166787.3694675
2022-12-01,2023-01-01,7.012125528943131,9.385137839413215,5.846103024803886,6.039200893510559,361916913.9523733,598653227.4195677
2022-11-01,2022-12-01,9.215181336364477,11.7535,5.802117039086707,7.016079894394132,252411109.5620667,633532388.1667227
2022-10-01,2022-11-01,12.559185594022045,13.0288,8.198731074194887,9.222147222764425,220802064.86477223,902540594.6147828
2022-09-01,2022-10-01,14.1381,15.3181,11.66643209369992,12.567442392989106,143419155.1103024,1107420971.3847976
2022-08-01,2022-09-01,18.0418,19.79154305152985,13.0611,14.1381,144564615.58663628,1372556143.238925
2022-07-01,2022-08-01,14.54816088484128,20.2688,12.421678545362592,18.0804,322427577.0688584,1261950931.6213505
2022-06-01,2022-07-01,23.86485247483281,23.86485247483281,11.97610184431701,14.486495960669034,453492987.0642082,1167972428.172589
2022-05-01,2022-06-01,29.036056292235884,34.6447,16.619412716709874,23.709955596554103,713620048.6820449,1451756918.058564
2022-04-01,2022-05-01,63.46024796848511,74.9521,27.65,29.05763516285886,583479096.7177894,3029639143.508357
2022-03-01,2022-04-01,54.4335,74.223,44.7166,63.45350562878959,683249842.8970276,3297543546.2986746
2022-02-01,2022-03-01,52.338002541512246,71.5546,42.0981,54.3895,674337973.5784731,3356343910.6808767
2022-01-01,2022-02-01,93.15581754743084,97.7736,44.62140538566849,52.18794821342465,501129653.3795547,4210329250.5873404
2021-12-01,2022-01-01,137.29634331383266,142.4922,89.92304665816904,93.29953684630571,530156267.407574,6379308204.99328
2021-11-01,2021-12-01,138.17705213843152,163.8908834669916,121.7003,137.24120843953185,990062344.7653412,8364032505.491029
2021-10-01,2021-11-01,74.44413490431505,162.66387776417488,74.27288375172883,138.0366534845188,2528941850.0224547,7475515778.265071
2021-09-01,2021-10-01,72.2003,94.2309,48.869815041811776,74.44234104886382,1225357071.863809,4116523622.544969
2021-08-01,2021-09-01,42.57915616742888,82.9366,37.73,72.3741,2284487899.3850694,3703330303.671364
2021-07-01,2021-08-01,5.675123880016536,52.77,5.217491149895624,42.80985257499994,3259729883.40962,1353621235.8303716
2021-06-01,2021-07-01,4.941793681161454,5.766340163727219,2.9,5.623414613342308,66177321.23408858,247772923.66778523
2021-05-01,2021-06-01,10.458631279,10.458631279,2.76,4.954153846107531,116013380.82136887,395183047.35239655
2021-04-01,2021-05-01,5.7,11.88,5.047182581,10.432042578,355430654.28911865,465493171.7912128
2021-03-01,2021-04-01,1.3974217,7.34,1.3974217,5.7,114797805.11584581,244674416.53141472
2021-02-01,2021-03-01,0.806338515,2.345566563,0.774811618,1.393610174,44733649.15530086,88786179.9662039
2021-01-01,2021-02-01,0.537716921,1.137347921,0.418947368,0.806955902,29292029.1250957,38860447.94065019
2020-12-01,2021-01-01,0.457571358,0.855347875,0.40644853,0.538789249,29616889.67381011,35256942.978935316
2020-11-05,2020-12-01,0.145963806,0.673618722,0.124080345,0.456415535,18495825.4868717,23188863.968827892
